Liczba punktów,Graham [ms],Jarvis [ms],Przyrostowy [ms],Górna i dolna [ms],Dziel i rządź [ms],Quickhull [ms],Chan [ms]
20000,38.56,29.53,24.05,16.19,72.96,23.48,160.24
40000,76.84,58.33,49.54,31,109.25,47.56,336.87
60000,123.54,94.85,76.01,48.19,199.31,86.49,488.16
80000,174.17,137.08,114.23,69.36,263.54,107.07,685.34
100000,229.51,193.2,150.31,101.41,324.14,144,885.59
