Liczba punktów,Graham [ms],Jarvis [ms],Przyrostowy [ms],Górna i dolna [ms],Dziel i rządź [ms],Quickhull [ms],Chan [ms]
20000,37.36,31.3,15.72,9.1,31.75,28.67,139.93
40000,75.99,64.53,32.89,18.38,79.29,59.51,298.72
60000,120.05,98.9,51.59,27.46,101.1,92.93,429.49
80000,165.86,140.75,72.3,38.54,150.06,131.26,602.92
100000,215.95,190.67,97.63,49.03,157.94,172.72,759.16
